"GitHub Repository";"Twitter Account";"GitHub Contributors";"Twitter Tweets"
laravel/laravel;laravelphp;406;8699
symfony/symfony/;symfony;421;1902
bcit-ci/CodeIgniter;CodeIgniter;395;257
yiisoft/yii2;yiiframework;422;3064
phalcon/cphalcon;phalconphp;194;626
slimphp/Slim;slimphp;170;884
cakephp/cakephp;cakephp;374;2710
sebastianbergmann/phpunit;s_bergmann;260;11772
octobercms/october;octobercms;205;587
Sylius/Sylius;Sylius;393;1363
anchorcms/anchor-cms;AnchorCMS;110;882
Codeception/Codeception;codeception;400;1387
pyrocms/pyrocms;PyroCMS;14;4117
bcosca/fatfree;phpfatfree;12;343
BootstrapCMS/CMS;GrahamJCampbell;17;2233
getgrav/grav;getgrav;98;1763
pagekit/pagekit;pagekit;44;551
bolt/bolt;BoltCM;226;1796
picocms/Pico;gitpicocms;29;22
PrestaShop/PrestaShop;PrestaShop;360;18805
joomla/joomla-cms;joomla;362;5839
COCOPi/cockpit;getcockpit;28;200
forkcms/forkcms;fork_cms;69;563
phacility/phabricator;phabricator;196;745
piwik/piwik;piwik;172;2084
CachetHQ/Cachet;cachethq;109;906
reactphp/react;reactphp;29;175
overtrue/wechat;WeChatApp;53;1728
magento/magento2;magento;306;10828
TYPO3/TYPO3.CMS;typo3;284;2509
danielmiessler/SecLists;DanielMiessler;33;10642
